sensor_id,location,temperature,humidity,timestamp
1,62935 Raven Court,56.57,68.54,3/13/2022
2,89475 Marquette Pass,39.43,73.03,5/3/2022
3,0234 Cambridge Park,-10.21,4.23,11/3/2022
4,55500 Dayton Park,16.77,20.44,2/7/2022
5,982 Oakridge Lane,71.48,61.1,6/11/2022
6,9927 Talmadge Place,-2.32,57.6,5/20/2022
7,65296 Barnett Place,63.69,79.54,6/10/2022
8,67571 Rowland Drive,38.42,40.07,4/29/2022
9,247 Pankratz Avenue,-12.34,71.8,2/28/2022
10,709 Menomonie Parkway,-2.47,94.42,7/4/2022
11,959 Mesta Road,72.31,43.43,8/10/2022
12,081 Kinsman Point,20.78,70.57,5/30/2022
13,891 Texas Point,-14.78,48.72,3/16/2022
14,2 Stuart Circle,44.01,73.48,2/17/2022
15,00608 Ohio Park,63.93,37.07,1/9/2022
16,36968 3rd Trail,98.02,14.44,5/29/2022
17,13412 Dorton Junction,34.15,96.93,10/27/2022
18,5527 Haas Avenue,-8.73,83.61,1/21/2022
19,71 Northfield Way,3.9,74.64,3/11/2022
20,2 Mccormick Drive,32.75,29.83,8/11/2022
21,700 Doe Crossing Street,64.85,72.23,1/5/2022
22,4266 Montana Court,94.89,14.95,7/12/2022
23,717 Sycamore Lane,86.11,96.65,12/11/2022
24,9203 Northview Alley,50.29,85.63,5/19/2022
25,5 Tennessee Road,80.65,57.5,10/24/2022
26,6563 Packers Avenue,57.81,8.84,12/14/2022
27,40209 Veith Court,87.38,65.32,6/16/2022
28,71 Randy Center,26.23,80.02,4/16/2022
29,5272 Pawling Center,17.09,41.92,11/7/2022
30,4 Warrior Lane,50.61,67.11,11/11/2022
31,652 Granby Pass,69.34,17.79,5/6/2022
32,08 Sauthoff Center,40.53,52.86,5/9/2022
33,3 Stephen Center,11.55,0.61,6/8/2022
34,23501 Bowman Road,52.36,76.46,11/25/2022
35,38154 Westend Plaza,96.12,73.59,11/22/2022
36,0093 Cambridge Road,88.06,86.33,3/11/2022
37,52497 Maryland Circle,38.92,14.35,3/9/2022
38,3 Darwin Way,39.11,76.17,8/19/2022
39,6406 Welch Drive,75.31,14.2,9/21/2022
40,52292 Cardinal Pass,-6.72,95.01,1/22/2022
41,65795 Kings Parkway,94.65,99.61,7/10/2022
42,16 Derek Avenue,62.22,30.07,3/20/2022
43,9 Forest Dale Pass,26.96,27.31,1/21/2022
44,859 Oneill Road,12.17,35.23,1/29/2022
45,13856 Bluejay Way,62.53,76.83,5/15/2022
46,5 Packers Way,66.34,26.31,8/17/2022
47,55 Stephen Park,76.03,4.2,1/14/2022
48,369 Old Shore Center,66.03,0.94,3/4/2022
49,78 Maryland Terrace,-14.11,96.46,4/19/2022
50,28691 Hansons Pass,60.2,56.7,6/23/2022
51,0 Barby Park,-4.19,95.65,3/24/2022
52,60422 Summerview Place,52.06,47.51,11/23/2022
53,8345 Emmet Crossing,92.34,15.66,3/23/2022
54,16200 Lillian Point,36.74,44.35,4/23/2022
55,9538 Columbus Terrace,49.2,71.83,4/4/2022
56,28 Bunker Hill Plaza,40.01,82.72,7/18/2022
57,679 American Hill,91.39,51.68,12/9/2022
58,086 Grasskamp Place,2.58,70.1,6/14/2022
59,249 Welch Parkway,41.59,86.06,3/31/2022
60,37097 Nobel Terrace,-5.89,42.26,2/8/2022
61,776 Sundown Center,85.13,81.53,3/11/2022
62,76790 Mallory Road,22.73,23.7,11/8/2022
63,61031 Burning Wood Road,45.12,87.23,9/14/2022
64,1972 New Castle Terrace,-2.8,34.76,4/6/2022
65,76 Hoffman Street,53.31,14.59,9/4/2022
66,3369 Arizona Park,93.99,79.44,8/19/2022
67,93101 Larry Avenue,29.91,61.08,4/24/2022
68,8911 Veith Hill,64.09,17.83,5/9/2022
69,35 Killdeer Hill,30.48,73.82,1/17/2022
70,03521 Esch Park,78.74,92.67,1/1/2022
71,159 Clyde Gallagher Plaza,35.87,40.95,1/14/2022
72,31361 Leroy Center,28.81,47.64,7/12/2022
73,49455 Nobel Alley,40.95,1.67,6/22/2022
74,5754 Prairie Rose Alley,79.0,23.27,12/5/2022
75,3908 Michigan Junction,40.87,75.29,9/29/2022
76,76 Anhalt Trail,-5.87,54.44,3/18/2022
77,40 Prairie Rose Hill,25.31,8.56,8/3/2022
78,6261 Nobel Avenue,59.74,21.02,3/14/2022
79,902 Clyde Gallagher Lane,78.37,4.59,7/25/2022
80,60350 Bay Place,8.34,58.86,4/13/2022
81,9 Westport Center,-8.56,51.41,8/16/2022
82,8 Victoria Junction,81.62,95.77,7/18/2022
83,693 Morrow Hill,58.55,60.85,12/5/2022
84,004 Birchwood Point,53.74,76.69,6/20/2022
85,96 Paget Way,24.46,3.95,6/15/2022
86,7 Nelson Pass,-15.63,53.76,9/19/2022
87,0569 Fremont Terrace,55.94,20.86,12/2/2022
88,0067 Division Circle,37.05,18.31,8/14/2022
89,0 Mallory Circle,3.24,90.26,5/22/2022
90,27755 Shasta Court,-19.61,45.49,10/4/2022
91,4 Dapin Court,82.95,54.96,9/20/2022
92,71 Farmco Trail,16.49,31.71,1/28/2022
93,610 Bluestem Lane,16.78,19.91,10/3/2022
94,6 Ludington Junction,-18.47,59.19,7/29/2022
95,696 Superior Crossing,-15.13,33.55,5/30/2022
96,6 Mosinee Street,60.38,54.36,7/29/2022
97,513 Anthes Circle,56.23,5.34,5/4/2022
98,9495 Dennis Street,50.26,11.77,4/23/2022
99,6 Fulton Terrace,15.15,5.92,4/6/2022
100,034 Birchwood Terrace,95.48,9.52,11/11/2022
101,200 Jana Place,4.47,50.76,8/26/2022
102,93477 Center Crossing,48.68,26.84,2/9/2022
103,7 Grim Point,55.41,63.13,12/5/2022
104,467 Haas Place,40.78,20.15,3/24/2022
105,20 Hoepker Alley,70.24,56.54,11/17/2022
106,53527 High Crossing Trail,57.82,74.65,9/26/2022
107,5153 Forest Terrace,28.41,73.31,9/5/2022
108,86977 Mifflin Place,-14.5,62.76,3/22/2022
109,6 Cardinal Circle,12.49,7.18,4/16/2022
110,16334 Lillian Circle,-9.81,28.49,3/12/2022
111,664 Mallory Drive,71.26,17.39,7/6/2022
112,642 Steensland Drive,89.77,29.85,12/30/2022
113,690 Rockefeller Junction,68.82,47.43,4/24/2022
114,09593 Northwestern Drive,16.53,93.73,9/10/2022
115,3 Schurz Crossing,39.16,76.7,1/7/2022
116,866 Eastwood Court,-15.05,9.99,3/7/2022
117,4100 3rd Street,39.66,53.04,10/22/2022
118,164 Carpenter Avenue,95.16,94.12,8/17/2022
119,64350 Manitowish Place,48.91,4.89,7/29/2022
120,21664 Saint Paul Center,26.7,63.89,11/7/2022
121,31 Roth Crossing,78.63,78.12,2/10/2022
122,6368 Butterfield Parkway,13.62,29.02,6/12/2022
123,00 Morrow Crossing,18.19,85.42,7/9/2022
124,048 Bultman Place,17.43,98.1,4/30/2022
125,91 Forest Run Junction,92.41,96.81,1/18/2022
126,59829 Hintze Pass,7.07,52.88,5/5/2022
127,27686 Dawn Point,-13.9,6.94,12/25/2022
